start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
Cleveland Pl & Spring St,Cleveland Pl & Spring St,2363,40.722103786686034,-73.99724900722504,40.722103786686034,-73.99724900722504
Columbus Ave & W 72 St,W 63 St & Broadway,2363,40.7770575,-73.97898475,40.77163851,-73.98261428
W 26 St & 8 Ave,11 Ave & W 27 St,2360,40.74734825,-73.99723551,40.751396,-74.005226
W 16 St & The High Line,8 Ave & W 16 St,2355,40.74334935,-74.00681753,40.740983,-74.001702
5 Ave & E 63 St,5 Ave & E 63 St,2347,40.766368,-73.971518,40.766368,-73.971518
Picnic Point,Yankee Ferry Terminal,2341,40.68512559515415,-74.02535319328308,40.68706579875912,-74.01675585121666
Vesey Pl & River Terrace,North Moore St & Greenwich St,2336,40.7153379,-74.01658354,40.72019521437465,-74.0103006362915
Central Park West & W 76 St,Central Park West & W 76 St,2335,40.77896784,-73.97374737,40.77896784,-73.97374737
1 Ave & E 68 St,1 Ave & E 62 St,2326,40.76500525,-73.95818491,40.7612274,-73.96094022
Clinton St & Grand St,Clinton St & Cherry St,2317,40.71559509,-73.9870295,40.711471394469264,-73.98672603070736
E 85 St & York Ave,E 85 St & 3 Ave,2306,40.77536905,-73.94803392,40.77801203,-73.95407149
Henry St & Grand St,Clinton St & Grand St,2302,40.714211,-73.981095,40.71559509,-73.9870295
Central Park W & W 91 St,Central Park W & W 91 St,2296,40.78866499127884,-73.96680057048798,40.78866499127884,-73.96680057048798
Huron St & Franklin St,Kent Ave & N 7 St,2296,40.73266,-73.95826,40.72036775298455,-73.96165072917938
5 Ave & E 78 St,5 Ave & E 72 St,2294,40.77632142182271,-73.96427392959595,40.77282817,-73.96685276
W 70 St & Amsterdam Ave,West End Ave & W 60 St,2291,40.77748046,-73.98288594,40.77237,-73.99005
Vernon Blvd & 50 Ave,Center Blvd & 51 Ave,2289,40.74232744,-73.95411749,40.74336608027021,-73.95960688591003
E 7 St & Avenue A,Cooper Square & Astor Pl,2282,40.72621788,-73.98379855,40.72951496224949,-73.99075269699097
W 20 St & 10 Ave,W 20 St & 7 Ave,2281,40.745686,-74.005141,40.74238787,-73.99726235
University Pl & E 14 St,University Pl & E 14 St,2279,40.734814,-73.992085,40.734814,-73.992085
3 Ave & E 62 St,1 Ave & E 68 St,2275,40.76312584,-73.96526895,40.76500525,-73.95818491
Shore Blvd & Astoria Park,Shore Blvd & Astoria Park,2274,40.77977,-73.923162,40.77977,-73.923162
E 33 St & 1 Ave,6 Ave & W 34 St,2273,40.74322681432173,-73.97449783980846,40.74964,-73.98805
Central Park S & 6 Ave,5 Ave & E 93 St,2258,40.76590936,-73.97634151,40.7857851,-73.957481
E 40 St & Park Ave,E 27 St & Park Ave S,2258,40.750756,-73.978326,40.74275179648995,-73.9847157150507
E 33 St & 1 Ave,2 Ave & E 31 St,2257,40.74322681432173,-73.97449783980846,40.74290902,-73.97706058
Kent Ave & N 7 St,Huron St & Franklin St,2256,40.72036775298455,-73.96165072917938,40.73266,-73.95826
E 40 St & Park Ave,E 33 St & 1 Ave,2255,40.750756,-73.978326,40.74322681432173,-73.97449783980846
Plaza St East & Flatbush Ave,Plaza St East & Flatbush Ave,2245,40.673134,-73.969106,40.673134,-73.969106
E 31 St & 3 Ave,W 31 St & 7 Ave,2238,40.74394314,-73.97966069,40.749156,-73.9916
1 Ave & E 16 St,E 23 St & 1 Ave,2236,40.73221853,-73.98165557,40.736502,-73.97809472
6 Ave & W 34 St,Broadway & W 41 St,2234,40.74964,-73.98805,40.75513557,-73.98658032
Yankee Ferry Terminal,Picnic Point,2234,40.68706579875912,-74.01675585121666,40.68512559515415,-74.02535319328308
University Pl & E 8 St,University Pl & E 14 St,2232,40.73143724085228,-73.99490341544151,40.734814,-73.992085
Driggs Ave & N Henry St,Driggs Ave & N 9 St,2224,40.72325,-73.94308,40.71816969454208,-73.95520135760307
11 Ave & W 41 St,11 Ave & W 41 St,2215,40.76030096,-73.99884222,40.76030096,-73.99884222
W 29 St & 9 Ave,9 Ave & W 22 St,2215,40.7500727,-73.99839279,40.7454973,-74.00197139
11 Ave & W 41 St,W 44 St & 11 Ave,2210,40.76030096,-73.99884222,40.762009,-73.996975
2 Ave & E 72 St,1 Ave & E 78 St,2208,40.7687620293096,-73.95840793848038,40.77140426,-73.9535166
W 64 St & Thelonious Monk Circle,W 70 St & Amsterdam Ave,2207,40.77515953434235,-73.98918695747852,40.77748046,-73.98288594
1 Ave & E 30 St,2 Ave & E 29 St,2202,40.74144387,-73.97536082,40.74172351097472,-73.97809267044067
1 Ave & E 68 St,E 88 St & 1 Ave,2196,40.76500525,-73.95818491,40.778301,-73.9488134
Central Park North & Adam Clayton Powell Blvd,7 Ave & Central Park South,2196,40.799484,-73.955613,40.7667405590595,-73.9790689945221
West St & Chambers St,Christopher St & Greenwich St,2195,40.71754834,-74.01322069,40.73291553,-74.00711384
E 47 St & Park Ave,W 41 St & 8 Ave,2180,40.75510267,-73.97498696,40.75640548,-73.9900262
Centre St & Chambers St,Cadman Plaza E & Tillary St,2178,40.71273266,-74.0046073,40.69597683,-73.99014892
Graham Ave & Conselyea St,Richardson St & N Henry St,2178,40.715143,-73.944507,40.71907891179564,-73.94223690032959
India St & Manhattan Ave,Franklin St & Dupont St,2165,40.73232194,-73.9550858,40.73564,-73.95866
